"uid","role"," description","controller","function","table","uacl","oacl","hidden","system","protected","Notes"
"survey_reader","Assessment Reader",,"survey","series",,"READ",,,,,
"survey_reader","Assessment Reader",,"survey","series_export_formatted",,"READ",,,,,
"survey_reader","Assessment Reader",,,,"survey_translate","READ",,,,,
"survey_reader","Assessment Reader",,"survey","completed_chart",,"READ",,,,,
"survey_reader","Assessment Reader",,"survey","export_all_responses",,"READ",,,,,
"survey_reader","Assessment Reader",,"survey","template",,"READ",,,,,
"survey_data_entry","Assessment Data Entry",,"survey","index",,"READ",,,,,
"survey_data_entry","Assessment Data Entry",,"survey","template",,"READ",,,,,
"survey_data_entry","Assessment Data Entry",,"survey","templateRead",,"READ",,,,,
"survey_data_entry","Assessment Data Entry",,"survey","templateSummary",,"READ",,,,,
"survey_data_entry","Assessment Data Entry",,"survey","complete",,"READ|CREATE","READ|CREATE|UPDATE",,,,
"survey_data_entry","Assessment Data Entry",,"survey","newAssessment",,"READ|CREATE","READ|CREATE|UPDATE",,,,
"survey_data_entry","Assessment Data Entry",,"survey","series",,"READ|CREATE","READ|CREATE|UPDATE",,,,
"survey_data_entry","Assessment Data Entry",,"survey","series_export_formatted",,"READ",,,,,
"survey_data_entry","Assessment Data Entry",,"survey","export_all_responses",,"READ",,,,,
"survey_data_entry","Assessment Data Entry",,"survey","completed_chart",,"READ",,,,,
"survey_data_entry","Assessment Data Entry",,,,"survey_answer","READ|CREATE","READ|CREATE|UPDATE",,,,
"survey_data_entry","Assessment Data Entry",,,,"survey_complete","READ|CREATE","READ|CREATE|UPDATE",,,,
"survey_data_entry","Assessment Data Entry",,,,"survey_question","READ|UPDATE",,,,,
"survey_data_entry","Assessment Data Entry",,,,"survey_series","READ|UPDATE",,,,,
"survey_data_entry","Assessment Data Entry",,,,"survey_translate","READ",,,,,
"survey_editor","Assessment Editor",,"survey","index",,"READ",,,,,
"survey_editor","Assessment Editor",,"survey","template",,"READ",,,,,
"survey_editor","Assessment Editor",,"survey","templateRead",,"READ",,,,,
"survey_editor","Assessment Editor",,"survey","templateSummary",,"READ",,,,,
"survey_editor","Assessment Editor",,"survey","complete",,"READ|CREATE|UPDATE",,,,,
"survey_editor","Assessment Editor",,"survey","newAssessment",,"READ|CREATE|UPDATE",,,,,
"survey_editor","Assessment Editor",,"survey","series",,"READ|CREATE|UPDATE",,,,,
"survey_editor","Assessment Editor",,"survey","series_export_formatted",,"READ",,,,,
"survey_editor","Assessment Editor",,"survey","export_all_responses",,"READ",,,,,
"survey_editor","Assessment Editor",,"survey","completed_chart",,"READ",,,,,
"survey_editor","Assessment Editor",,,,"survey_answer","READ|CREATE|UPDATE",,,,,
"survey_editor","Assessment Editor",,,,"survey_complete","READ|CREATE|UPDATE",,,,,
"survey_editor","Assessment Editor",,,,"survey_question","READ|UPDATE",,,,,
"survey_editor","Assessment Editor",,,,"survey_series","READ|UPDATE",,,,,
"survey_editor","Assessment Editor",,,,"survey_translate","READ",,,,,
"survey_super","Assessment Super Editor",,"survey",,,"READ|CREATE|UPDATE|DELETE","READ|CREATE|UPDATE|DELETE",,,,
"ORG_ADMIN","Organisation Admin","Can control all record permissions","event",,,"ALL",,,,,
"ORG_ADMIN","Organisation Admin","Can control all record permissions","org",,,"ALL",,,,,
"MAP_ADMIN","Map Admin",,"gis","layer_arcrest",,"ALL",,,,,
"MAP_ADMIN","Map Admin",,"gis","layer_bing",,"ALL",,,,,
"MAP_ADMIN","Map Admin",,"gis","layer_coordinate",,"ALL",,,,,
"MAP_ADMIN","Map Admin",,"gis","layer_empty",,"ALL",,,,,
"MAP_ADMIN","Map Admin",,"gis","layer_feature",,"ALL",,,,,
"MAP_ADMIN","Map Admin",,"gis","layer_geojson",,"ALL",,,,,
"MAP_ADMIN","Map Admin",,"gis","layer_georss",,"ALL",,,,,
"MAP_ADMIN","Map Admin",,"gis","layer_google",,"ALL",,,,,
"MAP_ADMIN","Map Admin",,"gis","layer_gpx",,"ALL",,,,,
"MAP_ADMIN","Map Admin",,"gis","layer_kml",,"ALL",,,,,
"MAP_ADMIN","Map Admin",,"gis","layer_mgrs",,"ALL",,,,,
"MAP_ADMIN","Map Admin",,"gis","layer_openstretmap",,"ALL",,,,,
"MAP_ADMIN","Map Admin",,"gis","layer_theme",,"ALL",,,,,
"MAP_ADMIN","Map Admin",,"gis","layer_tms",,"ALL",,,,,
"MAP_ADMIN","Map Admin",,"gis","layer_wfs",,"ALL",,,,,
"MAP_ADMIN","Map Admin",,"gis","layer_wms",,"ALL",,,,,
"MAP_ADMIN","Map Admin",,"gis","layer_xyz",,"ALL",,,,,
